Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
Hunter,0,0.0,0.0,0,0.0,0.0,Hunter,0,0.0,0.0,0,0.0,0.0,Hunter,0,0.0,0.0,0,0.0,0.0,Hunter,1,1.0,1.0,5,1.0,0.0,Hunter,1,1.0,2.0,9,1.0,1.0
C1911,2,2.0,3.0,9,2.0,1.0,C1911,4,7.0,12.0,32,10.0,5.0,C1911,5,22.0,40.0,116,30.0,18.0,C1911,11,68.0,125.0,332,93.0,57.0,C1911,0,0.0,0.0,0,0.0,0.0
Deagle,0,0.0,0.0,3,0.0,0.0,Deagle,1,1.0,2.0,9,1.0,1.0,Deagle,1,2.0,6.0,30,4.0,4.0,Deagle,1,6.0,17.0,76,10.0,11.0,Deagle,1,19.0,52.0,212,33.0,33.0
5-7,2,2.0,2.0,5,2.0,0.0,5-7,3,3.0,5.0,13,4.0,2.0,5-7,5,12.0,19.0,47,15.0,7.0,5-7,7,28.0,48.0,115,37.0,20.0,5-7,11,84.0,147.0,359,113.0,63.0
Glock 17,3,3.0,4.0,11,3.0,1.0,Glock 17,5,9.0,15.0,36,12.0,6.0,Glock 17,7,28.0,47.0,128,37.0,19.0,Glock 17,13,84.0,147.0,442,113.0,63.0,Glock 17,0,0.0,0.0,0,0.0,0.0
Makarov,3,3.0,4.0,9,3.0,1.0,Makarov,6,11.0,17.0,38,14.0,6.0,Makarov,10,34.0,55.0,158,44.0,21.0,Makarov,15,102.0,168.0,475,132.0,66.0,Makarov,0,0.0,0.0,0,0.0,0.0
Ruger,7,7.0,9.0,15,8.0,2.0,Ruger,12,24.0,31.0,52,27.0,7.0,Ruger,31,70.0,100.0,201,84.0,30.0,Ruger,60,210.0,301.0,625,252.0,91.0,Ruger,0,0.0,0.0,0,0.0,0.0
Tokarev,2,2.0,2.0,6,2.0,0.0,Tokarev,3,3.0,5.0,12,4.0,2.0,Tokarev,5,12.0,19.0,49,15.0,7.0,Tokarev,6,28.0,48.0,132,37.0,20.0,Tokarev,9,83.0,146.0,410,112.0,63.0
USP,2,2.0,3.0,9,2.0,1.0,USP,4,7.0,12.0,29,10.0,5.0,USP,4,22.0,40.0,118,30.0,18.0,USP,9,67.0,124.0,348,93.0,57.0,USP,0,0.0,0.0,0,0.0,0.0
JW 2011,2,2.0,3.0,9,2.0,1.0,JW 2011,4,7.0,12.0,32,10.0,5.0,JW 2011,5,22.0,40.0,127,30.0,18.0,JW 2011,8,67.0,126.0,333,93.0,59.0,JW 2011,0,0.0,0.0,0,0.0,0.0
JW G34,3,3.0,4.0,12,3.0,1.0,JW G34,5,9.0,15.0,32,12.0,6.0,JW G34,5,28.0,48.0,139,37.0,20.0,JW G34,13,85.0,147.0,445,113.0,62.0,JW G34,0,0.0,0.0,0,0.0,0.0
SVD,1,1.0,1.0,1,1.0,0.0,SVD,1,1.0,1.0,1,1.0,0.0,SVD,1,1.0,1.0,1,1.0,0.0,SVD,1,1.0,1.0,5,1.0,0.0,SVD,1,1.0,2.0,9,1.0,1.0
Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0
