Weapon,Minimum,Q1,Q3,Maximum,Median,IQR
M1A SASS,1,1.0,1.0,1,1.0,0.0,M1A SASS,1,1.0,1.0,1,1.0,0.0,M1A SASS,1,1.0,2.0,9,1.0,1.0,M1A SASS,2,4.0,8.0,29,6.0,4.0,M1A SASS,2,11.0,24.0,81,17.0,13.0
SKS,2,2.0,3.0,6,2.0,1.0,SKS,2,2.0,4.0,11,3.0,2.0,SKS,4,10.0,16.0,47,12.0,6.0,SKS,6,33.0,61.0,156,46.0,28.0,SKS,7,67.0,124.0,355,93.0,57.0
AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,0,0.0,0.0,AWM,0,0.0,0.0,3,0.0,0.0,AWM,1,1.0,2.0,12,2.0,1.0
Mosin,1,1.0,1.0,1,1.0,0.0,Mosin,1,1.0,1.0,1,1.0,0.0,Mosin,1,1.0,2.0,8,1.0,1.0,Mosin,2,4.0,8.0,26,6.0,4.0,Mosin,2,11.0,25.0,83,17.0,14.0
Springfield,1,1.0,1.0,1,1.0,0.0,Springfield,1,1.0,1.0,1,1.0,0.0,Springfield,2,2.0,4.0,11,3.0,2.0,Springfield,3,6.0,11.0,33,8.0,5.0,Springfield,3,17.0,32.0,107,23.0,15.0
Hunter,1,1.0,1.0,1,1.0,0.0,Hunter,1,1.0,1.0,1,1.0,0.0,Hunter,1,1.0,2.0,8,1.0,1.0,Hunter,2,4.0,8.0,25,6.0,4.0,Hunter,2,11.0,25.0,102,17.0,14.0
C1911,4,13.0,23.0,81,18.0,10.0,C1911,7,33.0,61.0,163,46.0,28.0,C1911,0,0.0,0.0,0,0.0,0.0,C1911,0,0.0,0.0,0,0.0,0.0,C1911,0,0.0,0.0,0,0.0,0.0
Deagle,1,1.0,2.0,11,1.0,1.0,Deagle,2,7.0,14.0,49,10.0,7.0,Deagle,2,34.0,77.0,290,52.0,43.0,Deagle,0,0.0,0.0,0,0.0,0.0,Deagle,0,0.0,0.0,0,0.0,0.0
5-7,3,3.0,5.0,13,4.0,2.0,5-7,5,17.0,28.0,73,22.0,11.0,5-7,20,84.0,147.0,408,113.0,63.0,5-7,0,0.0,0.0,0,0.0,0.0,5-7,0,0.0,0.0,0,0.0,0.0
Glock 17,6,17.0,28.0,68,22.0,11.0,Glock 17,7,42.0,73.0,170,56.0,31.0,Glock 17,0,0.0,0.0,0,0.0,0.0,Glock 17,0,0.0,0.0,0,0.0,0.0,Glock 17,0,0.0,0.0,0,0.0,0.0
Makarov,7,20.0,32.0,80,26.0,12.0,Makarov,13,51.0,84.0,244,66.0,33.0,Makarov,0,0.0,0.0,0,0.0,0.0,Makarov,0,0.0,0.0,0,0.0,0.0,Makarov,0,0.0,0.0,0,0.0,0.0
Ruger,21,46.0,63.0,119,54.0,17.0,Ruger,50,114.0,161.0,314,136.0,47.0,Ruger,0,0.0,0.0,0,0.0,0.0,Ruger,0,0.0,0.0,0,0.0,0.0,Ruger,0,0.0,0.0,0,0.0,0.0
Tokarev,3,3.0,5.0,13,4.0,2.0,Tokarev,5,17.0,28.0,72,22.0,11.0,Tokarev,13,84.0,147.0,381,112.0,63.0,Tokarev,0,0.0,0.0,0,0.0,0.0,Tokarev,0,0.0,0.0,0,0.0,0.0
USP,4,13.0,23.0,64,18.0,10.0,USP,7,33.0,61.0,163,46.0,28.0,USP,0,0.0,0.0,0,0.0,0.0,USP,0,0.0,0.0,0,0.0,0.0,USP,0,0.0,0.0,0,0.0,0.0
JW 2011,4,13.0,23.0,71,18.0,10.0,JW 2011,6,33.0,61.0,172,46.0,28.0,JW 2011,0,0.0,0.0,0,0.0,0.0,JW 2011,0,0.0,0.0,0,0.0,0.0,JW 2011,0,0.0,0.0,0,0.0,0.0
JW G34,5,17.0,28.0,74,22.0,11.0,JW G34,8,42.0,72.0,189,56.0,30.0,JW G34,0,0.0,0.0,0,0.0,0.0,JW G34,0,0.0,0.0,0,0.0,0.0,JW G34,0,0.0,0.0,0,0.0,0.0
SVD,1,1.0,1.0,1,1.0,0.0,SVD,1,1.0,1.0,1,1.0,0.0,SVD,1,1.0,2.0,9,1.0,1.0,SVD,2,4.0,8.0,27,6.0,4.0,SVD,2,11.0,25.0,105,17.0,14.0
Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0,Barrett,0,0.0,0.0,0,0.0,0.0
